Process Monitor Report - 2026-06-12 15:19:33.932545
====================================================================================================
PID      PPID     Name                           Memory(MB)   CPU%     Status    
7716     1074     chrome_crashpad_handler        3.4          0.0      sleeping  
2392     1074     chrome_crashpad_handler        3.4          0.0      sleeping  
1090     1074     (sd-pam)                       3.3          0.0      sleeping  
974      1        rtkit-daemon                   3.3          0.0      sleeping  
899      1        cron                           2.9          0.0      sleeping  
1259     1253     fusermount3                    2.0          0.0      sleeping  
2387     2383     cat                            2.0          0.0      sleeping  
2388     2383     cat                            2.0          0.0      sleeping  
2        0        kthreadd                       0.0          0.0      sleeping  
3        2        pool_workqueue_release         0.0          0.0      sleeping  
4        2        kworker/R-rcu_gp               0.0          0.0      idle      
5        2        kworker/R-sync_wq              0.0          0.0      idle      
6        2        kworker/R-kvfree_rcu_reclaim   0.0          0.0      idle      
7        2        kworker/R-slub_flushwq         0.0          0.0      idle      
8        2        kworker/R-netns                0.0          0.0      idle      
9        2        kworker/0:0-mm_percpu_wq       0.0          0.0      idle      
10       2        kworker/0:0H-kblockd           0.0          0.0      idle      
13       2        kworker/R-mm_percpu_wq         0.0          0.0      idle      
14       2        ksoftirqd/0                    0.0          0.0      sleeping  
15       2        rcu_preempt                    0.0          0.0      idle      
16       2        rcu_exp_par_gp_kthread_worker  0.0          0.0      sleeping  
17       2        rcu_exp_gp_kthread_worker      0.0          0.0      sleeping  
18       2        migration/0                    0.0          0.0      sleeping  
19       2        kprobe-optimizer               0.0          0.0      sleeping  
20       2        idle_inject/0                  0.0          0.0      sleeping  
21       2        cpuhp/0                        0.0          0.0      sleeping  
22       2        cpuhp/2                        0.0          0.0      sleeping  
23       2        idle_inject/2                  0.0          0.0      sleeping  
24       2        migration/2                    0.0          0.0      sleeping  
25       2        ksoftirqd/2                    0.0          0.0      sleeping  
27       2        kworker/2:0H-kblockd           0.0          0.0      idle      
28       2        cpuhp/4                        0.0          0.0      sleeping  
29       2        idle_inject/4                  0.0          0.0      sleeping  
30       2        migration/4                    0.0          0.0      sleeping  
31       2        ksoftirqd/4                    0.0          0.0      sleeping  
33       2        kworker/4:0H-kblockd           0.0          0.0      idle      
34       2        cpuhp/6                        0.0          0.0      sleeping  
35       2        idle_inject/6                  0.0          0.0      sleeping  
36       2        migration/6                    0.0          0.0      sleeping  
37       2        ksoftirqd/6                    0.0          0.0      sleeping  
39       2        kworker/6:0H-kblockd           0.0          0.0      idle      
40       2        cpuhp/8                        0.0          0.0      sleeping  
41       2        idle_inject/8                  0.0          0.0      sleeping  
